model_id,model_label,model_family,mean_auroc,mean_auprc,mean_ece,mean_shortcut_score,mean_rc_delta,mean_gc_only_ratio,mean_worst_gc_bin_auroc,mean_gc_bin_auroc_gap,mean_matched_negative_gc_only_auroc_drop,external_validation_score,mean_external_biological_reliability,mean_external_reliability_risk,full_profile_predicted_external_reliability_in_sample
caduceus_ph,Caduceus-Ph,foundation_model,0.6292141502272971,0.56710087884052,0.05521045979609987,0.46962723885800806,0.021146086765057588,0.9286201670851371,0.6236454822318419,0.10780336224482452,0.08821427686201393,0.31117845117845117,0.31117845117845117,0.5847329111218,0.38115943735425994
cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,0.644759684715837,0.642103912879255,0.028148352224721552,0.4613135402609087,0.0,1.0824378807923543,,,,,,,
dnabert2,DNABERT-2,foundation_model,0.7025353395960429,0.6402752629119483,0.04253173573526702,0.674544993168475,0.07259183364485554,0.8664447499503003,0.730129345346193,0.09125540106044677,0.08821427686201393,0.8091203703703703,0.8091203703703703,0.5393167789001122,0.7503349803896016
gc_only,GC-only logistic regression,diagnostic_logistic_regression,0.689664364581607,0.6840089003128924,0.03127098707542868,0.4534787824261508,0.0,1.0,,,0.08821427686201393,,,,
kmer_logistic_regression,6-mer logistic regression,classical,0.7009595944784119,0.6537941804648922,0.16807008356735645,0.7025627394048447,0.30408883033365525,0.9262358658683554,0.699688007299776,0.08337910069196106,0.08821427686201393,0.6281228956228956,0.6281228956228956,0.5067449183189924,0.7070246811736973
length_only,Length-only logistic regression,diagnostic_logistic_regression,0.5,0.5,0.00263758430989605,0.5391737891737891,0.0,1.2288237902283423,,,,,,,
nucleotide_transformer_v2,Nucleotide Transformer v2,foundation_model,0.5836945,0.5794648186324528,0.13782186280907022,0.6798245614035088,0.24907441399313895,1.3211553596594912,,,,,,,
repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,0.5558817812578581,0.562870555558999,0.02602086064993605,0.4694294496926075,0.0,1.2454540104203575,,,,,,,
small_cnn,CNN,cnn,0.6468821285533443,0.6006889121887024,0.056516612955595444,0.5051480757958491,0.037176524503872904,0.8982068736850397,0.6887111519582074,0.12012508047498159,0.08821427686201393,0.4067255892255892,0.4067255892255892,0.5017155683822351,0.4661449087415528
small_cnn_rc_aug,RC-aug CNN,cnn,0.6689793070273419,0.6059309190341388,0.05444403636424978,0.42267117348089006,0.027612699930054586,0.8589844793507248,0.718199892214848,0.11790730096573945,0.08821427686201393,0.5716161616161616,0.5716161616161616,0.6238536155202822,0.4946250230109994
